,ds,yhat
164,2023-08-24,44.30173810629945
165,2023-08-25,49.931696192078434
166,2023-08-26,31.19250138295628
167,2023-08-27,24.161817596734693
168,2023-08-28,42.81947264739437
169,2023-08-29,27.09422412460771
170,2023-08-30,47.12282825168278
171,2023-08-31,47.789913071445994
172,2023-09-01,53.49480087680929
173,2023-09-02,34.777631284729964
174,2023-09-03,27.7148369007183
175,2023-09-04,24.14291703444202
176,2023-09-05,30.420557356383327
177,2023-09-06,50.25702362265801
178,2023-09-07,50.682688712419164
179,2023-09-08,56.10048033529789
180,2023-09-09,37.05501621705274
181,2023-09-10,29.628008119706212
182,2023-09-11,47.80501617598375
183,2023-09-12,31.522131401374303
184,2023-09-13,50.92493103991553
185,2023-09-14,50.908210086086285
186,2023-09-15,55.882636400448504
