,,,,,,,,,,,,,,,,,,,,,,
,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
,80,Wednesday Jul 6,boxscore,CLE,@,DET,L,2,8,,40-40,2,4.5,Pineda,Bieber,,3:04,D,17829,0.88,----,
,81,Friday Jul 8,boxscore,CLE,@,KCR,L-wo,3,4,,40-41,2,4.5,Barlow,Hentges,,2:44,N,19611,0.84,-----,
,82,Saturday Jul 9,boxscore,CLE,@,KCR,W,13,1,,41-41,2,3.5,McKenzie,Heasley,,3:10,D,17024,0.82,+,
,83,Sunday Jul 10,boxscore,CLE,@,KCR,L,1,5,,41-42,2,4.5,Greinke,Plesac,,2:48,D,13282,0.86,-,
,84,Monday Jul 11,boxscore,CLE,,CHW,W,8,4,,42-42,2,4.0,Quantrill,Lynn,,2:51,N,13655,0.88,+,
,85,Tuesday Jul 12 (1),boxscore,CLE,,CHW,W,4,1,,43-42,2,3.5,Bieber,Martin,,2:09,D,11342,0.94,++,
,86,Tuesday Jul 12 (2),boxscore,CLE,,CHW,L,0,7,,43-43,2,3.5,Cease,Pilkington,,3:15,N,11750,0.96,-,
,87,Wednesday Jul 13,boxscore,CLE,,CHW,L,1,2,,43-44,2,4.5,Giolito,Hentges,Hendriks,2:57,N,13987,0.95,--,
,88,Thursday Jul 14,boxscore,CLE,,DET,W,4,0,,44-44,2,3.5,McKenzie,Rodriguez,,2:37,N,14327,0.78,+,
,89,Friday Jul 15,boxscore,CLE,,DET,W,6,5,,45-44,2,2.5,Shaw,Fulmer,Stephan,2:59,N,27846,0.82,++,
,90,Saturday Jul 16,boxscore,CLE,,DET,W,10,0,,46-44,2,2.5,Quantrill,Pineda,,2:46,D,26789,0.88,+++,
,91,Friday Jul 22,boxscore,CLE,@,CHW,W,8,2,,47-44,2,1.5,Quantrill,Giolito,,3:20,N,31379,1.03,++++,
,92,Saturday Jul 23 (1),boxscore,CLE,@,CHW,W,7,4,,48-44,2,2.0,Stephan,Hendriks,Clase,2:58,D,18518,1.05,+++++,
,93,Saturday Jul 23 (2),boxscore,CLE,@,CHW,L,4,5,,48-45,2,2.0,Kelly,Shaw,Foster,3:06,N,26329,1.07,-,
,94,Sunday Jul 24,boxscore,CLE,@,CHW,L,3,6,,48-46,2,3.0,Cease,Bieber,,2:31,D,30831,1.07,--,
,95,Monday Jul 25,boxscore,CLE,@,BOS,L,1,3,,48-47,2,3.5,Schreiber,Plesac,Whitlock,3:03,N,32529,0.97,---,
,96,Tuesday Jul 26,boxscore,CLE,@,BOS,W,8,3,,49-47,2,2.5,McCarty,Winckowski,,3:20,N,32483,0.93,+,
,97,Wednesday Jul 27,boxscore,CLE,@,BOS,W,7,6,,50-47,2,1.5,De Los Santos,Houck,Clase,3:02,N,32919,0.97,++,
,98,Thursday Jul 28,boxscore,CLE,@,BOS,L,2,4,,50-48,2,2.0,Diekman,McKenzie,Whitlock,2:33,N,32122,1.02,-,
,99,Friday Jul 29,boxscore,CLE,@,TBR,W,4,1,,51-48,2,1.0,Bieber,Springs,Clase,2:43,N,14671,1.01,+,
,100,Saturday Jul 30,boxscore,CLE,@,TBR,L,4,6,,51-49,2,2.0,Kluber,Plesac,Fairbanks,2:58,D,22756,1.04,-,
,101,Sunday Jul 31,boxscore,CLE,@,TBR,W,5,3,,52-49,2,1.0,McCarty,McClanahan,Clase,3:03,D,18023,1.03,+,
,102,Monday Aug 1,boxscore,CLE,,ARI,W-wo,6,5,11,53-49,2,1.0,Hentges,Melancon,,3:42,N,13707,0.97,++,
